Date,County,State,Vehicle.Primary.Use,Battery.Electric.Vehicles..BEVs.,Plug.In.Hybrid.Electric.Vehicles..PHEVs.,Electric.Vehicle..EV..Total,Non.Electric.Vehicle.Total,Total.Vehicles,Percent.Electric.Vehicles
June 30 2024,Caddo,LA,Passenger,2,0,2,10,12,16.67
December 31 2017,Pend Oreille,WA,Truck,0,0,0,5619,5619,0
April 30 2017,Lincoln,WA,Truck,0,0,0,4464,4464,0
February 28 2022,El Paso,CO,Passenger,2,2,4,663,667,0.6
January 31 2017,DeKalb,GA,Passenger,1,0,1,92,93,1.08
July 31 2019,Manassas,VA,Passenger,0,1,1,9,10,10
March 31 2019,San Juan,WA,Passenger,197,70,267,14284,14551,1.83
July 31 2024,New York,NY,Passenger,2,0,2,26,28,7.14
March 31 2021,Asotin,WA,Truck,0,0,0,6721,6721,0
April 30 2017,Dakota,MN,Passenger,0,1,1,41,42,2.38
August 31 2022,Manassas,VA,Passenger,0,1,1,7,8,12.5
April 30 2024,Clallam,WA,Truck,30,0,30,21408,21438,0.14
June 30 2020,Suffolk,MA,Passenger,0,2,2,40,42,4.76
March 31 2021,Clinton,PA,Passenger,1,0,1,0,1,100
January 31 2017,DeKalb,IN,Passenger,1,0,1,1,2,50
December 31 2017,Ventura,CA,Passenger,0,1,1,345,346,0.29
May 31 2018,Marion,IN,Passenger,1,0,1,120,121,0.83
April 30 2022,Spartanburg,SC,Passenger,0,1,1,40,41,2.44
April 30 2020,Eagle,CO,Passenger,1,0,1,8,9,11.11
December 31 2017,Kitsap,WA,Truck,1,0,1,52697,52698,0
November 30 2017,Wahkiakum,WA,Truck,0,0,0,1661,1661,0
February 29 2024,Wahkiakum,WA,Truck,4,0,4,1745,1749,0.23
August 31 2019,Cumberland,NC,Passenger,1,2,3,511,514,0.58
May 31 2018,Juneau,AK,Passenger,0,1,1,48,49,2.04
July 31 2023,San Mateo,CA,Passenger,3,0,3,71,74,4.05
June 30 2020,Gwinnett,GA,Passenger,1,0,1,77,78,1.28
March 31 2022,Harris,TX,Passenger,1,0,1,191,192,0.52
November 30 2020,Marion,IN,Passenger,1,0,1,78,79,1.27
June 30 2019,Collier,FL,Passenger,1,0,1,21,22,4.55
October 31 2019,Collier,FL,Passenger,1,0,1,21,22,4.55
December 31 2019,Snohomish,WA,Passenger,4020,1708,5728,535871,541599,1.06
April 30 2024,Jefferson,WA,Passenger,719,298,1017,23994,25011,4.07
May 31 2024,Suffolk,VA,Passenger,1,0,1,90,91,1.1
April 30 2024,Laramie,WY,Passenger,1,0,1,24,25,4
June 30 2022,Williams,ND,Passenger,0,1,1,7,8,12.5
May 31 2021,Lincoln,WA,Passenger,5,13,18,7727,7745,0.23
October 31 2022,Montgomery,AL,Passenger,2,1,3,36,39,7.69
March 31 2022,Nassau,NY,Passenger,3,0,3,34,37,8.11
February 28 2023,Solano,CA,Passenger,4,0,4,151,155,2.58
January 31 2023,Sarasota,FL,Passenger,1,0,1,30,31,3.23
October 31 2022,Fredericksburg,VA,Passenger,1,0,1,7,8,12.5
June 30 2023,Kitsap,WA,Passenger,3233,1292,4525,175441,179966,2.51
June 30 2023,Adams,WA,Passenger,24,12,36,13078,13114,0.27
October 31 2019,Loudoun,VA,Passenger,1,0,1,97,98,1.02
July 31 2022,San Joaquin,CA,Passenger,0,1,1,96,97,1.03
January 31 2024,Garfield,OK,Passenger,1,0,1,15,16,6.25
November 30 2022,Clark,WA,Passenger,4776,1975,6751,314510,321261,2.1
April 30 2017,Bergen,NJ,Passenger,0,2,2,32,34,5.88
November 30 2023,Palm Beach,FL,Passenger,1,1,2,43,45,4.44
April 30 2023,Ada,ID,Passenger,3,0,3,141,144,2.08
June 30 2019,Frederick,MD,Passenger,1,1,2,75,77,2.6
July 31 2019,Lee,FL,Passenger,1,0,1,51,52,1.92
June 30 2019,Owyhee,ID,Passenger,1,0,1,5,6,16.67
November 30 2018,Clark,NV,Passenger,3,3,6,748,754,0.8
April 30 2017,Jefferson,NY,Passenger,1,1,2,252,254,0.79
July 31 2022,Skamania,WA,Truck,0,0,0,3943,3943,0
October 31 2022,Doña Ana,NM,Passenger,1,0,1,12,13,7.69
November 30 2017,Maui,HI,Passenger,1,0,1,68,69,1.45
June 30 2020,Newport,RI,Passenger,0,1,1,82,83,1.2
December 31 2021,Flathead,MT,Passenger,2,0,2,53,55,3.64
February 28 2019,DeKalb,IN,Passenger,1,0,1,1,2,50
October 31 2018,Lee,AL,Passenger,1,0,1,36,37,2.7
August 31 2019,DuPage,IL,Passenger,3,0,3,63,66,4.55
August 31 2020,Pinellas,FL,Passenger,1,1,2,116,118,1.69
September 30 2017,Lake,CA,Passenger,0,1,1,13,14,7.14
February 28 2023,Rockdale,GA,Passenger,1,0,1,8,9,11.11
January 31 2022,Lake,IN,Passenger,0,1,1,9,10,10
April 30 2020,San Juan,WA,Truck,0,0,0,5897,5897,0
March 31 2019,Suffolk,MA,Passenger,0,1,1,43,44,2.27
May 31 2024,El Paso,TX,Passenger,3,1,4,244,248,1.61
December 31 2017,Bexar,TX,Passenger,1,2,3,834,837,0.36
November 30 2020,Norfolk,VA,Passenger,2,3,5,330,335,1.49
May 31 2022,Harrison,MS,Passenger,2,0,2,58,60,3.33
January 31 2023,Boulder,CO,Passenger,2,0,2,43,45,4.44
January 31 2021,Hillsborough,FL,Passenger,0,1,1,171,172,0.58
January 31 2022,Kittitas,WA,Passenger,215,72,287,29794,30081,0.95
February 28 2019,Carroll,NH,Passenger,0,1,1,2,3,33.33
April 30 2022,Snohomish,WA,Passenger,7961,2416,10377,533444,543821,1.91
March 31 2024,Hillsborough,FL,Passenger,3,2,5,94,99,5.05
September 30 2017,El Paso,TX,Passenger,1,0,1,539,540,0.19
March 31 2018,Fairfax,VA,Passenger,3,1,4,815,819,0.49
December 31 2020,Newport,RI,Passenger,0,1,1,82,83,1.2
August 31 2019,Kalamazoo,MI,Passenger,1,0,1,16,17,5.88
August 31 2018,Nantucket,MA,Passenger,1,0,1,4,5,20
October 31 2023,Columbia,OR,Passenger,1,0,1,9,10,10
July 31 2020,Botetourt,VA,Passenger,1,0,1,0,1,100
March 31 2020,Pinal,AZ,Passenger,1,0,1,202,203,0.49
October 31 2022,Denton,TX,Passenger,2,0,2,71,73,2.74
September 30 2020,Fresno,CA,Passenger,1,0,1,198,199,0.5
February 29 2020,Harrison,MS,Passenger,1,0,1,65,66,1.52
January 31 2020,Larimer,CO,Passenger,1,0,1,54,55,1.82
April 30 2018,Beaufort,SC,Passenger,1,0,1,42,43,2.33
April 30 2017,Morris,NJ,Passenger,1,0,1,22,23,4.35
November 30 2018,Valencia,NM,Passenger,1,0,1,12,13,7.69
March 31 2018,Pend Oreille,WA,Passenger,4,3,7,9456,9463,0.07
August 31 2017,Hawaii,HI,Passenger,1,0,1,83,84,1.19
January 31 2024,Spotsylvania,VA,Passenger,1,1,2,23,25,8
November 30 2018,Yakima,WA,Truck,0,0,0,58739,58739,0
October 31 2021,Pierce,WA,Passenger,3998,2078,6076,557018,563094,1.08
February 28 2018,Cook,IL,Passenger,1,0,1,290,291,0.34
December 31 2020,Williams,ND,Passenger,0,1,1,10,11,9.09
May 31 2023,Ada,ID,Passenger,3,0,3,139,142,2.11
December 31 2019,Henrico,VA,Passenger,0,1,1,21,22,4.55
March 31 2022,Ada,ID,Passenger,2,0,2,203,205,0.98
September 30 2024,Sarasota,FL,Passenger,1,0,1,13,14,7.14
April 30 2017,Skagit,WA,Truck,1,0,1,31391,31392,0
May 31 2020,Chelan,WA,Truck,0,0,0,22421,22421,0
June 30 2018,Wahkiakum,WA,Passenger,1,2,3,2915,2918,0.1
July 31 2022,Bexar,TX,Passenger,3,3,6,489,495,1.21
August 31 2022,Tarrant,TX,Passenger,4,0,4,128,132,3.03
November 30 2023,Nueces,TX,Passenger,0,1,1,49,50,2
January 31 2024,Newport,RI,Passenger,0,2,2,56,58,3.45
May 31 2024,Pitt,NC,Passenger,0,1,1,6,7,14.29
December 31 2023,Pierce,WA,Passenger,9464,3213,12677,525574,538251,2.36
August 31 2023,DuPage,IL,Passenger,2,1,3,33,36,8.33
December 31 2023,Nassau,NY,Passenger,1,0,1,23,24,4.17
August 31 2022,Thurston,WA,Truck,17,0,17,55010,55027,0.03
August 31 2018,Jefferson,WA,Truck,0,0,0,9614,9614,0
April 30 2018,Franklin,WA,Truck,0,0,0,18592,18592,0
January 31 2022,Douglas,WA,Passenger,118,56,174,28568,28742,0.61
October 31 2023,Stevens,WA,Passenger,131,72,203,29554,29757,0.68
June 30 2017,Honolulu,HI,Passenger,3,2,5,607,612,0.82
June 30 2024,Williamson,TX,Passenger,1,1,2,43,45,4.44
January 31 2018,Palm Beach,FL,Passenger,0,2,2,88,90,2.22
September 30 2021,Hennepin,MN,Passenger,3,0,3,79,82,3.66
April 30 2022,St. Mary's,MD,Passenger,1,0,1,199,200,0.5
February 28 2021,Ramsey,MN,Passenger,1,0,1,39,40,2.5
September 30 2021,San Bernardino,CA,Passenger,1,0,1,393,394,0.25
October 31 2023,Clark,NV,Passenger,7,3,10,424,434,2.3
August 31 2024,Clark,NV,Passenger,5,1,6,333,339,1.77
March 31 2022,Solano,CA,Passenger,1,0,1,175,176,0.57
June 30 2023,Platte,MO,Passenger,1,0,1,21,22,4.55
November 30 2023,Douglas,WA,Passenger,242,80,322,28859,29181,1.1
May 31 2017,Lewis,WA,Passenger,49,35,84,55365,55449,0.15
November 30 2022,San Juan,WA,Truck,7,0,7,5934,5941,0.12
August 31 2018,Norfolk,VA,Passenger,2,2,4,334,338,1.18
September 30 2024,Kings,CA,Passenger,3,1,4,223,227,1.76
May 31 2020,Pulaski,MO,Passenger,1,0,1,145,146,0.68
September 30 2022,Allegheny,PA,Passenger,2,1,3,67,70,4.29
September 30 2023,Collier,FL,Passenger,1,0,1,12,13,7.69
October 31 2019,Kent,MI,Passenger,0,1,1,27,28,3.57
March 31 2024,Newport,RI,Passenger,0,2,2,54,56,3.57
November 30 2022,Anchorage,AK,Passenger,1,0,1,132,133,0.75
January 31 2018,Charles,MD,Passenger,0,1,1,82,83,1.2
November 30 2023,El Dorado,CA,Passenger,1,0,1,18,19,5.26
November 30 2021,Island,WA,Passenger,701,341,1042,62718,63760,1.63
June 30 2018,Pacific,WA,Passenger,17,20,37,15562,15599,0.24
January 31 2017,Pend Oreille,WA,Passenger,1,4,5,9345,9350,0.05
April 30 2023,New London,CT,Passenger,1,3,4,183,187,2.14
January 31 2020,Island,WA,Truck,1,0,1,21342,21343,0
September 30 2018,Collin,TX,Passenger,1,1,2,170,172,1.16
August 31 2020,St. Louis,MO,Passenger,1,0,1,100,101,0.99
May 31 2021,Howard,IN,Passenger,0,1,1,3,4,25
August 31 2020,King,WA,Truck,5,1,6,183248,183254,0
April 30 2024,San Juan,WA,Passenger,737,203,940,13566,14506,6.48
February 28 2017,Harnett,NC,Passenger,1,0,1,260,261,0.38
January 31 2023,Flathead,MT,Passenger,1,0,1,34,35,2.86
December 31 2021,Denton,TX,Passenger,2,0,2,83,85,2.35
June 30 2023,Yakima,WA,Passenger,502,258,760,166007,166767,0.46
November 30 2020,Jefferson,WA,Passenger,277,153,430,24709,25139,1.71
May 31 2022,El Paso,CO,Passenger,3,3,6,639,645,0.93
March 31 2022,Oldham,KY,Passenger,0,1,1,4,5,20
March 31 2021,Santa Cruz,CA,Passenger,1,0,1,31,32,3.12
September 30 2021,Rockdale,GA,Passenger,1,0,1,7,8,12.5
September 30 2021,Manassas,VA,Passenger,0,1,1,6,7,14.29
November 30 2020,Williams,ND,Passenger,0,1,1,10,11,9.09
March 31 2021,Columbia,WA,Passenger,5,4,9,2464,2473,0.36
February 28 2017,Deschutes,OR,Passenger,1,0,1,209,210,0.48
August 31 2022,Franklin,OH,Passenger,1,0,1,62,63,1.59
April 30 2022,Harford,MD,Passenger,1,1,2,52,54,3.7
January 31 2019,Grant,WA,Passenger,33,53,86,64358,64444,0.13
January 31 2020,Walla Walla,WA,Truck,0,0,0,13706,13706,0
September 30 2021,Multnomah,OR,Passenger,3,6,9,670,679,1.33
March 31 2023,Currituck,NC,Passenger,1,0,1,18,19,5.26
February 28 2023,Asotin,WA,Passenger,30,20,50,12394,12444,0.4
October 31 2022,Lewis,WA,Passenger,260,182,442,59781,60223,0.73
March 31 2021,Skagit,WA,Passenger,541,260,801,91522,92323,0.87
June 30 2022,New London,CT,Passenger,2,4,6,192,198,3.03
December 31 2018,Jefferson,CO,Passenger,0,2,2,60,62,3.23
February 28 2023,Providence,RI,Passenger,1,0,1,16,17,5.88
September 30 2019,Rogers,OK,Passenger,1,0,1,9,10,10
May 31 2024,Mason,WA,Truck,23,0,23,20402,20425,0.11
January 31 2023,Okaloosa,FL,Passenger,0,1,1,103,104,0.96
February 29 2024,Platte,MO,Passenger,2,0,2,18,20,10
March 31 2019,Kitsap,WA,Passenger,996,569,1565,179860,181425,0.86
March 31 2021,Los Angeles,CA,Passenger,9,10,19,985,1004,1.89
April 30 2023,Fulton,GA,Passenger,1,1,2,68,70,2.86
April 30 2023,Whatcom,WA,Truck,52,0,52,42782,42834,0.12
July 31 2019,Kern,CA,Passenger,0,1,1,219,220,0.45
June 30 2021,Orange,CA,Passenger,5,3,8,451,459,1.74
November 30 2021,Gwinnett,GA,Passenger,1,0,1,66,67,1.49
March 31 2021,King,WA,Passenger,28510,8565,37075,1363963,1401038,2.65
August 31 2023,Whatcom,WA,Passenger,2658,934,3592,147920,151512,2.37
December 31 2017,Klickitat,WA,Truck,0,0,0,7995,7995,0
December 31 2020,Wahkiakum,WA,Passenger,6,7,13,3035,3048,0.43
November 30 2018,Prince George's,MD,Passenger,1,1,2,187,189,1.06
December 31 2022,New Haven,CT,Passenger,0,2,2,28,30,6.67
June 30 2022,Sacramento,CA,Passenger,2,1,3,236,239,1.26
June 30 2019,Walla Walla,WA,Passenger,49,61,110,36173,36283,0.3
May 31 2020,Stevens,WA,Passenger,35,33,68,30714,30782,0.22
March 31 2022,Wahkiakum,WA,Passenger,18,11,29,3075,3104,0.93
July 31 2024,Multnomah,OR,Passenger,1,1,2,320,322,0.62
April 30 2024,Berkeley,SC,Passenger,2,1,3,77,80,3.75
August 31 2022,Ferry,WA,Passenger,20,4,24,4392,4416,0.54
April 30 2020,Klickitat,WA,Truck,0,0,0,8188,8188,0
January 31 2021,DeKalb,GA,Passenger,1,0,1,70,71,1.41
November 30 2023,Shasta,CA,Passenger,1,0,1,25,26,3.85
July 31 2022,Middlesex,NJ,Passenger,1,0,1,22,23,4.35
October 31 2020,Lake,FL,Passenger,1,0,1,25,26,3.85
August 31 2022,Eagle,CO,Passenger,1,0,1,6,7,14.29
September 30 2021,Saginaw,MI,Passenger,1,0,1,7,8,12.5
May 31 2021,Chelan,WA,Passenger,322,98,420,54712,55132,0.76
April 30 2024,Cumberland,NC,Passenger,3,3,6,295,301,1.99
August 31 2019,Lincoln,WA,Truck,0,0,0,4682,4682,0
March 31 2023,Pacific,WA,Passenger,74,84,158,15602,15760,1
September 30 2020,Salt Lake,UT,Passenger,1,1,2,193,195,1.03
January 31 2018,Sedgwick,KS,Passenger,0,1,1,109,110,0.91
November 30 2018,Frederick,MD,Passenger,0,1,1,78,79,1.27
May 31 2022,Garfield,WA,Truck,0,0,0,977,977,0
February 28 2017,New Haven,CT,Passenger,0,1,1,61,62,1.61
January 31 2021,Marion,IA,Passenger,1,0,1,1,2,50
November 30 2023,Adams,WA,Passenger,28,15,43,13093,13136,0.33
July 31 2017,Juneau,AK,Passenger,0,1,1,47,48,2.08
February 28 2023,Stevens,WA,Truck,2,0,2,18732,18734,0.01
February 28 2019,Lewis,WA,Truck,0,0,0,25696,25696,0
August 31 2019,Charleston,SC,Passenger,1,0,1,118,119,0.84
July 31 2018,Ada,ID,Passenger,0,2,2,335,337,0.59
September 30 2018,Collier,FL,Passenger,1,0,1,23,24,4.17
August 31 2020,Newport,RI,Passenger,0,1,1,81,82,1.22
August 31 2022,Pulaski,MO,Passenger,2,0,2,113,115,1.74
July 31 2017,Grays Harbor,WA,Truck,0,0,0,19886,19886,0
September 30 2020,Whatcom,WA,Passenger,1140,525,1665,149296,150961,1.1
May 31 2020,St. Louis,MO,Passenger,1,0,1,100,101,0.99
November 30 2021,Franklin,WA,Passenger,154,103,257,62220,62477,0.41
April 30 2022,Grays Harbor,WA,Passenger,200,158,358,49175,49533,0.72
September 30 2020,Charleston,SC,Passenger,2,0,2,98,100,2
July 31 2024,Garfield,WA,Passenger,0,3,3,1294,1297,0.23
June 30 2024,Galveston,TX,Passenger,0,1,1,16,17,5.88
August 31 2024,Grays Harbor,WA,Truck,26,0,26,20428,20454,0.13
May 31 2019,Adams,WA,Truck,0,0,0,5123,5123,0
September 30 2022,Onslow,NC,Passenger,0,1,1,166,167,0.6
July 31 2021,Sumter,SC,Passenger,0,1,1,34,35,2.86
December 31 2021,Thurston,WA,Truck,0,0,0,55949,55949,0
January 31 2017,Yakima,WA,Truck,0,0,0,57334,57334,0
June 30 2022,Washoe,NV,Passenger,1,0,1,74,75,1.33
February 29 2020,Fort Bend,TX,Passenger,1,0,1,48,49,2.04
August 31 2023,Providence,RI,Passenger,1,0,1,17,18,5.56
April 30 2023,Broward,FL,Passenger,1,0,1,69,70,1.43
April 30 2024,DeKalb,GA,Passenger,1,0,1,33,34,2.94
April 30 2018,Whatcom,WA,Passenger,594,269,863,146568,147431,0.59
November 30 2022,DeKalb,GA,Passenger,1,0,1,51,52,1.92
February 28 2021,Fairbanks North Star,AK,Passenger,0,1,1,95,96,1.04
February 28 2021,Prince William,VA,Passenger,1,2,3,221,224,1.34
July 31 2020,DeKalb,GA,Passenger,1,0,1,82,83,1.2
November 30 2023,Wahkiakum,WA,Passenger,30,22,52,3043,3095,1.68
February 28 2022,Santa Clara,CA,Passenger,12,1,13,272,285,4.56
January 31 2022,Kings,NY,Passenger,1,0,1,73,74,1.35
January 31 2020,Garfield,WA,Passenger,0,1,1,1319,1320,0.08
March 31 2019,Monterey,CA,Passenger,0,1,1,197,198,0.51
May 31 2020,Denton,TX,Passenger,1,0,1,101,102,0.98
March 31 2021,Kings,NY,Passenger,1,0,1,71,72,1.39
May 31 2019,Portsmouth,VA,Passenger,0,1,1,74,75,1.33
January 31 2021,Montgomery,OH,Passenger,0,1,1,53,54,1.85
October 31 2023,Orange,NC,Passenger,1,0,1,4,5,20
December 31 2021,Powhatan,VA,Passenger,1,0,1,1,2,50
September 30 2021,Ferry,WA,Passenger,10,3,13,4399,4412,0.29
May 31 2024,Kittitas,WA,Truck,27,0,27,14675,14702,0.18
May 31 2021,New York,NY,Passenger,2,0,2,55,57,3.51
October 31 2023,Harris,TX,Passenger,2,1,3,138,141,2.13
March 31 2021,Polk,FL,Passenger,1,0,1,69,70,1.43
August 31 2019,Charles,MD,Passenger,0,1,1,90,91,1.1
July 31 2023,Grays Harbor,WA,Passenger,318,194,512,48196,48708,1.05
July 31 2021,Benton,WA,Truck,0,0,0,43639,43639,0
June 30 2024,Contra Costa,CA,Passenger,2,1,3,133,136,2.21
January 31 2018,Hardin,KY,Passenger,0,1,1,113,114,0.88
January 31 2021,Allegheny,PA,Passenger,2,1,3,77,80,3.75
May 31 2023,Boulder,CO,Passenger,2,0,2,38,40,5
July 31 2021,Pierce,WA,Truck,0,0,0,145704,145704,0
August 31 2018,Grant,WA,Truck,0,0,0,26002,26002,0
December 31 2018,Garfield,WA,Truck,0,0,0,964,964,0
May 31 2023,San Joaquin,CA,Passenger,0,1,1,85,86,1.16
September 30 2017,Hamilton,TN,Passenger,1,0,1,23,24,4.17
December 31 2020,Chelan,WA,Passenger,278,88,366,54489,54855,0.67
December 31 2021,El Paso,TX,Passenger,3,0,3,379,382,0.79
January 31 2024,Maricopa,AZ,Passenger,13,3,16,684,700,2.29
April 30 2018,Charles,MD,Passenger,0,1,1,82,83,1.2
December 31 2022,Danville,VA,Passenger,1,0,1,0,1,100
May 31 2020,Cumberland,NC,Passenger,1,3,4,482,486,0.82
March 31 2018,Sedgwick,KS,Passenger,0,1,1,106,107,0.93
August 31 2021,Essex,NJ,Passenger,2,0,2,13,15,13.33
September 30 2024,Snohomish,WA,Passenger,20405,4221,24626,508279,532905,4.62
January 31 2018,Multnomah,OR,Passenger,3,4,7,858,865,0.81
April 30 2022,Cowlitz,WA,Truck,0,1,1,28706,28707,0
July 31 2019,Boulder,CO,Passenger,1,0,1,51,52,1.92
April 30 2022,Sedgwick,KS,Passenger,0,1,1,83,84,1.19
October 31 2017,DeKalb,GA,Passenger,1,0,1,87,88,1.14
January 31 2021,Henrico,VA,Passenger,0,1,1,19,20,5
December 31 2019,Grant,WA,Truck,0,0,0,26994,26994,0
March 31 2024,Spokane,WA,Passenger,3102,1521,4623,320570,325193,1.42
April 30 2019,Salt Lake,UT,Passenger,1,0,1,219,220,0.45
March 31 2018,DuPage,IL,Passenger,1,0,1,68,69,1.45
April 30 2023,Frederick,MD,Passenger,1,0,1,55,56,1.79
September 30 2024,Rockdale,GA,Passenger,1,0,1,6,7,14.29
November 30 2022,San Mateo,CA,Passenger,1,0,1,80,81,1.23
February 29 2020,Queens,NY,Passenger,1,0,1,54,55,1.82
May 31 2023,Marin,CA,Passenger,1,1,2,35,37,5.41
November 30 2021,Snohomish,WA,Truck,2,0,2,125620,125622,0
December 31 2021,Pulaski,MO,Passenger,2,0,2,127,129,1.55
March 31 2019,Pinal,AZ,Passenger,2,0,2,207,209,0.96
July 31 2019,DeKalb,IN,Passenger,1,0,1,1,2,50
September 30 2024,Stevens,WA,Passenger,157,83,240,28554,28794,0.83
June 30 2023,Mason,WA,Passenger,444,206,650,46270,46920,1.39
May 31 2019,Ventura,CA,Passenger,0,2,2,330,332,0.6
September 30 2017,District of Columbia,DC,Passenger,0,2,2,200,202,0.99
June 30 2023,Jefferson,WA,Truck,12,0,12,9328,9340,0.13
March 31 2023,Wichita,TX,Passenger,1,0,1,37,38,2.63
May 31 2022,Hawaii,HI,Passenger,1,0,1,44,45,2.22
April 30 2021,Lincoln,WA,Passenger,5,13,18,7745,7763,0.23
May 31 2023,Kittitas,WA,Passenger,342,104,446,29387,29833,1.49
October 31 2019,Whitman,WA,Passenger,38,45,83,22697,22780,0.36
July 31 2023,Hennepin,MN,Passenger,1,0,1,41,42,2.38
February 29 2020,Pacific,WA,Truck,0,0,0,7740,7740,0
October 31 2022,Cumberland,NC,Passenger,2,4,6,372,378,1.59
June 30 2024,Orange,CA,Passenger,5,1,6,265,271,2.21
April 30 2021,Dakota,MN,Passenger,0,1,1,29,30,3.33
October 31 2023,Island,WA,Truck,34,0,34,20871,20905,0.16
September 30 2019,Stafford,VA,Passenger,1,1,2,105,107,1.87
August 31 2017,Manatee,FL,Passenger,1,0,1,45,46,2.17
June 30 2022,Middlesex,MA,Passenger,2,0,2,98,100,2
August 31 2021,Pennington,SD,Passenger,1,0,1,32,33,3.03
April 30 2021,Jones,GA,Passenger,1,0,1,1,2,50
March 31 2019,Stevens,WA,Passenger,19,27,46,31612,31658,0.15
December 31 2020,Flathead,MT,Passenger,2,0,2,60,62,3.23
June 30 2021,Island,WA,Passenger,617,316,933,63057,63990,1.46
October 31 2023,Pacific,WA,Passenger,86,100,186,15507,15693,1.19
April 30 2022,Sonoma,CA,Passenger,0,1,1,86,87,1.15
March 31 2018,Travis,TX,Passenger,1,1,2,202,204,0.98
May 31 2019,Juneau,AK,Passenger,0,2,2,34,36,5.56
January 31 2017,Loudoun,VA,Passenger,0,1,1,90,91,1.1
May 31 2023,Anchorage,AK,Passenger,1,0,1,114,115,0.87
December 31 2021,Manassas,VA,Passenger,0,1,1,6,7,14.29
July 31 2020,Kootenai,ID,Passenger,1,1,2,222,224,0.89
July 31 2020,Flathead,MT,Passenger,1,0,1,64,65,1.54
October 31 2020,Okanogan,WA,Truck,0,0,0,16564,16564,0
August 31 2020,Suffolk,VA,Passenger,1,0,1,126,127,0.79
January 31 2022,Tarrant,TX,Passenger,3,0,3,150,153,1.96
November 30 2017,Pacific,WA,Truck,0,0,0,7531,7531,0
January 31 2021,San Juan,WA,Passenger,377,113,490,14016,14506,3.38
March 31 2021,District of Columbia,DC,Passenger,2,1,3,183,186,1.61
August 31 2023,Randolph,NC,Passenger,1,0,1,2,3,33.33
June 30 2021,Botetourt,VA,Passenger,1,0,1,0,1,100
February 28 2019,Benton,WA,Passenger,233,244,477,132961,133438,0.36
November 30 2023,Grant,WA,Passenger,355,160,515,67405,67920,0.76
December 31 2022,Pacific,WA,Passenger,74,80,154,15690,15844,0.97
January 31 2022,Whatcom,WA,Truck,3,0,3,43570,43573,0.01
September 30 2024,San Diego,CA,Truck,1,0,1,352,353,0.28
January 31 2017,Lane,OR,Passenger,0,1,1,293,294,0.34
April 30 2022,Clackamas,OR,Passenger,2,0,2,168,170,1.18
November 30 2023,Lexington,SC,Passenger,1,0,1,20,21,4.76
March 31 2021,Williams,ND,Passenger,0,1,1,10,11,9.09
April 30 2019,Skagit,WA,Passenger,293,197,490,91513,92003,0.53
June 30 2023,Placer,CA,Passenger,1,0,1,73,74,1.35
December 31 2022,Kings,CA,Passenger,2,1,3,299,302,0.99
May 31 2021,Douglas,CO,Passenger,0,1,1,80,81,1.23
October 31 2023,Washtenaw,MI,Passenger,0,2,2,22,24,8.33
April 30 2022,Collier,FL,Passenger,1,0,1,18,19,5.26
January 31 2022,Bexar,TX,Passenger,2,4,6,530,536,1.12
February 28 2021,Tulsa,OK,Passenger,1,1,2,52,54,3.7
October 31 2018,Prince William,VA,Passenger,0,5,5,255,260,1.92
April 30 2022,Burlington,NJ,Passenger,0,2,2,104,106,1.89
February 29 2024,Berkeley,SC,Passenger,2,1,3,86,89,3.37
September 30 2023,New York,NY,Passenger,2,0,2,34,36,5.56
July 31 2022,Hillsborough,FL,Passenger,1,2,3,137,140,2.14
August 31 2018,Hardin,KY,Passenger,0,1,1,115,116,0.86
June 30 2022,Orange,NC,Passenger,1,0,1,8,9,11.11
May 31 2021,Franklin,WA,Passenger,117,95,212,61918,62130,0.34
August 31 2019,Pacific,WA,Truck,0,0,0,7674,7674,0
May 31 2020,Whitman,WA,Truck,0,0,0,8514,8514,0
July 31 2022,Ada,ID,Passenger,2,0,2,185,187,1.07
October 31 2023,Rock Island,IL,Passenger,0,1,1,12,13,7.69
June 30 2020,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50
December 31 2020,Yakima,WA,Passenger,171,128,299,167219,167518,0.18
July 31 2022,Arlington,VA,Passenger,1,0,1,139,140,0.71
August 31 2023,Pima,AZ,Passenger,1,0,1,201,202,0.5
May 31 2020,Gwinnett,GA,Passenger,1,0,1,77,78,1.28
September 30 2023,Harrison,MS,Passenger,1,0,1,36,37,2.7
June 30 2024,Kitsap,WA,Passenger,4587,1677,6264,174259,180523,3.47
March 31 2019,Pierce,WA,Truck,0,0,0,138950,138950,0
November 30 2018,Cowlitz,WA,Truck,0,0,0,28718,28718,0
February 28 2021,Lincoln,WA,Truck,0,0,0,4688,4688,0
October 31 2020,Grays Harbor,WA,Truck,0,0,0,21112,21112,0
March 31 2017,Santa Clara,CA,Passenger,6,2,8,425,433,1.85
June 30 2020,Manassas,VA,Passenger,0,1,1,4,5,20
January 31 2020,Dallas,TX,Passenger,1,0,1,219,220,0.45
July 31 2021,Ventura,CA,Passenger,1,4,5,276,281,1.78
December 31 2021,Howard,MD,Passenger,0,2,2,67,69,2.9
September 30 2024,Otero,NM,Passenger,0,1,1,21,22,4.55
December 31 2023,Kootenai,ID,Truck,1,0,1,27,28,3.57
April 30 2024,Snohomish,WA,Truck,335,0,335,119989,120324,0.28
October 31 2019,Grays Harbor,WA,Truck,0,0,0,20721,20721,0
November 30 2018,Columbia,WA,Truck,0,0,0,1516,1516,0
